username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
Melissa Capriglione @KICKSTARTER❣️	23	14927	1557	589	16	1	1	11217	0
Jeanne-Marie D.	19	3104	866	2296	36	1	0	7057	0
Mike smith	22	10860	1440	2159	37	1	1	26369	0
adamisalamb 🌊🍂🍩🍿🌊🎃🍂🌰🌽🦃	25	94486	2073	1194	30	1	1	242453	0
ANTHONY	20	7144	1717	3394	3	2	2	3946	0
Knowledge.Base	22	259	89	225	1	1	0	422	0
Melanie Gardiner	22	11434	4441	4987	727	12	12	498285	0
St Stephen's	18	2292	10775	1150	78	3	1	7676	0
Balanced Physician Care	16	37	299	120	11	1	0	975	1
Raymond  Rueger	21	15212	247	182	0	1	1	23998	0
Robin's Egg	14	30	9	25	1	1	0	46	0
Hilary  French	11	343	274	776	0	2	2	3699	0
(P)6	20	2053	5685	5589	7	2	1	4164	0
Zwarte Piet ⛄️☃️⛄️	16	43143	1852	3329	83	2	0	106925	0
Abewust	16	18887	1534	2770	0	2	1	13509	0
Benjamin Goldberg	19	209	75	238	0	1	1	997	0
NXVisualStudio	25	114	86	74	1	1	1	100	1
99.1 PLR	18	4429	7755	327	113	1	1	47001	0
TouringTastebuds	19	89715	16874	4975	144	4	2	29328	1
rikki naruke	17	0	1	34	0	1	1	80	1
Save My Breath	22	0	0	0	0	2	0	16	1
Abhishek Bisht	14	171	455	37	18	1	1	48485	0
Lindstrom Henrietta	17	0	1	175	0	1	1	26	1
kayleen	24	56519	331	322	3	1	1	19184	0
chris rich	20	65	20	703	0	1	1	1149	0
Paul O'Connor	22	40443	5470	2787	81	1	1	61389	0
iflikk	12	15	10	36	0	1	0	26	0
Andromeda Stinkface	21	13	3	8	0	1	1	17	0
MISS SHARLIS	17	40514	84128	438	337	2	2	126708	1
find the truth	22	43122	2029	2946	1	3	3	30859	1
Cat Gardner	21	10395	1193	2051	50	1	1	11967	0
Mr SlyFox	21	500	9	17	0	1	1	98	0
Djehuty Ma'at-Ra	24	11451	37345	12299	259	1	1	111947	0
‏ً	10	118821	1137	348	110	3	2	51779	0
KEN TOBIN	22	15867	2907	1415	47	1	0	28137	0
Ordinary Mummy	8	2098	212	294	2	1	0	1125	0
Pedekar Tanpa Penyemangat	24	285	169	179	1	1	1	7448	1
Sam Richardson 5'3	16	26443	214	694	1	1	1	5043	0
Dr.MyEyz	7	5132	941	1132	40	1	1	26771	0
